entropy_type,entropy
correct train,0.46602607
correct train,0.526939
correct train,0.27440336
correct train,0.57877815
correct train,3.525552e-05
correct train,0.5453159
correct train,0.5652102
correct train,0.33598477
correct train,0.2869935
correct train,0.4878086
correct train,0.00026927012
correct train,0.005496841
correct train,0.00088943256
correct train,0.3534506
correct train,0.29499534
correct train,0.3753222
correct train,0.28347266
correct train,0.30914703
correct train,0.18185203
correct train,0.30339172
correct train,0.360082
correct train,0.52750456
correct train,0.34197146
correct train,0.6178205
correct train,0.33066183
correct train,0.28590977
correct train,0.6661255
correct train,0.18757619
correct train,0.683573
correct train,0.11303243
correct train,0.24528384
correct train,0.3738883
correct train,3.3004983e-06
correct train,0.40537187
correct train,0.2723972
correct train,0.311027
correct train,0.25007698
correct train,0.23394467
correct train,0.5036825
correct train,0.24633788
correct train,0.41317496
correct train,0.37763578
correct train,0.2441771
correct train,0.3724115
correct train,0.530212
correct train,0.21337654
correct train,0.21819468
correct train,0.36328217
correct train,0.28103867
correct train,0.3767463
correct train,0.2689566
correct train,0.060212873
correct train,0.56815785
correct train,0.6376622
correct train,0.37851012
correct train,0.35518256
correct train,0.3119007
correct train,0.51230854
correct train,0.6290852
correct train,0.36561286
correct train,0.0010624017
correct train,0.42559695
correct train,0.25463974
correct train,0.17026721
correct train,0.00019016807
correct train,0.22480655
correct train,0.4391929
correct train,0.19799446
correct train,0.6041156
correct train,0.23192102
correct train,0.17251608
correct train,0.25671902
correct train,0.18580222
correct train,0.54496527
correct train,0.00047154457
correct train,0.26499468
correct train,0.3844871
correct train,0.36651888
correct train,0.5049021
correct train,0.52357304
correct train,0.0049589807
correct train,0.5017836
correct train,0.26453337
correct train,0.26835597
correct train,2.649908e-05
correct train,0.3911816
correct train,0.60653436
correct train,0.24494377
correct train,0.647474
correct train,0.33785284
correct train,8.066552e-06
correct train,0.002338898
correct train,2.0822862e-08
correct train,0.31163603
correct train,0.5719861
correct train,0.0020175946
correct train,0.0033626677
correct train,0.13210896
correct train,0.016039832
correct train,0.4255197
correct train,0.6066415
correct train,0.5913835
correct train,0.5425466
correct train,0.6661016
correct train,0.33911726
correct train,0.36850148
correct train,0.03368554
correct train,0.04305664
correct train,0.273031
correct train,0.033981163
correct train,0.13200368
correct train,0.2883939
correct train,0.28612018
correct train,0.0017661072
correct train,0.17914566
correct train,0.0010827531
correct train,0.6347338
correct train,0.5050851
correct train,0.22564113
correct train,0.18350405
correct train,0.32471502
correct train,0.21102908
correct train,0.23375034
correct train,0.47446388
correct train,0.31596163
correct train,0.14519176
correct train,0.39345786
correct train,0.017227096
correct train,3.9214953e-08
correct train,0.3521162
correct train,0.16545767
correct train,0.35993728
correct train,0.38387543
correct train,0.00088943256
correct train,0.26557127
correct train,0.0034833709
correct train,0.00056210125
correct train,0.341654
correct train,0.31199056
correct train,0.14423837
correct train,0.68958986
correct train,0.26069087
correct train,0.2883946
correct train,2.0190334e-06
correct train,0.33340874
correct train,0.028161818
correct train,0.28977796
correct train,0.58811873
correct train,0.17649393
correct train,0.39134538
correct train,0.0001612581
correct train,0.30270642
correct train,0.36563188
correct train,0.076062426
correct train,0.69301057
correct train,0.63252306
correct train,0.2692656
correct train,0.36803865
correct train,0.45032346
correct train,0.15481922
correct train,0.23048803
correct train,0.51253915
correct train,0.52411175
correct train,0.0024916334
correct train,0.24739647
correct train,0.00088943256
correct train,0.15866876
correct train,0.47812206
correct train,0.53935266
correct train,0.009904579
correct train,8.776566e-05
correct train,0.4623946
correct train,0.53505856
correct train,0.00088943256
correct train,0.19226728
correct train,0.21688628
correct train,0.014709118
correct train,3.694281e-05
correct train,0.28799194
