epochs,attack,epsilon,distance_class0,distance_class1,hidden_size
50,BIM_linf,0.01,1.4984067678451538,1.4023687839508057,5
50,BIM_linf,0.01,1.3483691215515137,1.4257795810699463,6
50,BIM_linf,0.01,1.4293431043624878,1.263032078742981,7
50,BIM_linf,0.01,1.4066643714904783,1.285861611366272,8
50,BIM_linf,0.01,1.691455602645874,1.3172128200531006,9
50,BIM_linf,0.01,1.5573238134384155,1.2989532947540283,10
50,BIM_linf,0.01,1.4917426109313965,1.191323161125183,11
50,BIM_linf,0.01,1.2166513204574585,1.2661093473434448,12
50,BIM_linf,0.01,1.469468355178833,1.2924350500106812,13
50,BIM_linf,0.01,1.3574068546295166,1.105672836303711,14
50,BIM_linf,0.01,1.1200149059295654,1.3272522687911987,15
50,BIM_linf,0.01,1.3310338258743286,1.2982635498046875,16
50,BIM_linf,0.01,1.4151158332824707,1.2003167867660522,17
50,BIM_linf,0.01,1.316229224205017,1.111350417137146,18
50,BIM_linf,0.01,1.290655493736267,1.254460334777832,19
50,BIM_linf,0.01,1.3054624795913696,1.484108805656433,20
50,BIM_linf,0.01,1.3432706594467163,1.368197321891785,21
50,BIM_linf,0.01,1.2180304527282717,1.2590833902359009,22
50,BIM_linf,0.01,1.4365798234939575,1.381064534187317,23
50,BIM_linf,0.01,1.3463114500045776,1.2697527408599854,24
50,BIM_linf,0.01,1.3717771768569946,1.3473492860794067,25
50,BIM_linf,0.01,1.3650766611099243,1.2016116380691528,26
50,BIM_linf,0.01,1.513046383857727,1.308189868927002,27
50,BIM_linf,0.01,1.3058764934539795,1.3254148960113523,28
50,BIM_linf,0.01,1.4094189405441284,1.3040928840637207,29
50,BIM_linf,0.01,1.2942273616790771,1.1957182884216309,30
50,BIM_linf,0.01,1.4597785472869873,1.3947728872299194,31
50,BIM_linf,0.01,1.2306443452835083,1.3178077936172483,32
50,BIM_linf,0.01,1.277119517326355,1.2777680158615112,33
50,BIM_linf,0.01,1.2506073713302612,1.3466143608093262,34
50,BIM_linf,0.01,1.3568079471588137,1.2753541469573977,35
50,BIM_linf,0.01,1.4738008975982666,1.159842848777771,36
50,BIM_linf,0.01,1.417735576629639,1.3774968385696411,37
50,BIM_linf,0.01,1.4333542585372925,1.3490395545959473,38
50,BIM_linf,0.01,1.1940224170684814,1.3490984439849854,39
50,BIM_linf,0.01,1.3455512523651123,1.216010808944702,40
50,BIM_linf,0.01,1.2917273044586182,1.3143657445907593,41
50,BIM_linf,0.01,1.3537770509719849,1.3533560037612915,42
50,BIM_linf,0.01,1.2854478359222412,1.3704262971878052,43
50,BIM_linf,0.01,1.5188008546829224,1.1717007160186768,44
50,BIM_linf,0.01,1.342855453491211,1.2829129695892334,45
50,BIM_linf,0.01,1.4275598526000977,1.3576675653457642,46
50,BIM_linf,0.01,1.2194092273712158,1.3265275955200195,47
50,BIM_linf,0.01,1.1243256330490112,1.4216212034225464,48
50,BIM_linf,0.01,1.3158289194107056,1.3154858350753784,49
50,BIM_linf,0.01,1.2073485851287842,1.283252477645874,50
50,BIM_linf,0.01,1.505337119102478,1.3277244567871094,51
50,BIM_linf,0.01,1.1418884992599487,1.275404930114746,52
