model,attack,epsilon,distance_class_0,distance_class_1
iris_200,FGSM,0.01,,
iris_200,FGSM,0.05,,
iris_200,FGSM,0.1,,
iris_200,DF_L2,0.01,,1.2011091709136963
iris_200,DF_L2,0.05,,1.4574555158615112
iris_200,DF_L2,0.1,,0.9640050530433655
iris_200,DF_Linf,0.01,,1.2836860418319702
iris_200,DF_Linf,0.05,,1.2233774662017822
iris_200,DF_Linf,0.1,,1.8797358274459839
iris_200,BIM_Linf,0.01,,
iris_200,BIM_Linf,0.05,,
iris_200,BIM_Linf,0.1,,
iris_400,FGSM,0.01,,1.8890851736068726
iris_400,FGSM,0.05,,1.2118340730667114
iris_400,FGSM,0.1,,0.2609769105911255
iris_400,DF_L2,0.01,,0.8160312175750732
iris_400,DF_L2,0.05,,3.3031370639801025
iris_400,DF_L2,0.1,,0.45476382970809937
iris_400,DF_Linf,0.01,,2.289224147796631
iris_400,DF_Linf,0.05,,2.8826334476470947
iris_400,DF_Linf,0.1,,1.463088870048523
iris_400,BIM_Linf,0.01,,0.21372586488723755
iris_400,BIM_Linf,0.05,,1.4361839294433594
iris_400,BIM_Linf,0.1,,0.26002538204193115
iris_600,FGSM,0.01,,2.9856514930725098
iris_600,FGSM,0.05,,1.741066336631775
iris_600,FGSM,0.1,,1.8126415014266968
iris_600,DF_L2,0.01,,
iris_600,DF_L2,0.05,,
iris_600,DF_L2,0.1,,
iris_600,DF_Linf,0.01,,3.577296257019043
iris_600,DF_Linf,0.05,,2.127964973449707
iris_600,DF_Linf,0.1,,3.177812099456787
iris_600,BIM_Linf,0.01,,2.332855701446533
iris_600,BIM_Linf,0.05,,2.3160948753356934
iris_600,BIM_Linf,0.1,,2.692854642868042
iris_800,FGSM,0.01,,
iris_800,FGSM,0.05,,
iris_800,FGSM,0.1,,
iris_800,DF_L2,0.01,,
iris_800,DF_L2,0.05,,
iris_800,DF_L2,0.1,,
iris_800,DF_Linf,0.01,,
iris_800,DF_Linf,0.05,,
iris_800,DF_Linf,0.1,,
iris_800,BIM_Linf,0.01,,
iris_800,BIM_Linf,0.05,,
iris_800,BIM_Linf,0.1,,
iris_1000,FGSM,0.01,,
iris_1000,FGSM,0.05,,
iris_1000,FGSM,0.1,,
iris_1000,DF_L2,0.01,,
iris_1000,DF_L2,0.05,,
iris_1000,DF_L2,0.1,,
iris_1000,DF_Linf,0.01,,
iris_1000,DF_Linf,0.05,,
iris_1000,DF_Linf,0.1,,
iris_1000,BIM_Linf,0.01,,
iris_1000,BIM_Linf,0.05,,
iris_1000,BIM_Linf,0.1,,
iris_1500,FGSM,0.01,,
iris_1500,FGSM,0.05,,
iris_1500,FGSM,0.1,,
iris_1500,DF_L2,0.01,,
iris_1500,DF_L2,0.05,,
iris_1500,DF_L2,0.1,,
iris_1500,DF_Linf,0.01,,
iris_1500,DF_Linf,0.05,,
iris_1500,DF_Linf,0.1,,
iris_1500,BIM_Linf,0.01,,
iris_1500,BIM_Linf,0.05,,
iris_1500,BIM_Linf,0.1,,
