epoch,alpha,method,certain_accuracy,uncertain_accuracy,n_certain,n_uncertain
1,0.0,entropy,0.6171497702598572,,828,0
1,0.0,information_content,0.6171497702598572,,828,0
1,0.0,probability_gap,0.6171497702598572,,828,0
1,0.0,combined,0.6171497702598572,,828,0
1,0.009999999776482582,entropy,0.6219512224197388,0.125,820,8
1,0.009999999776482582,information_content,0.6219512224197388,0.125,820,8
1,0.009999999776482582,probability_gap,0.6219512224197388,0.125,820,8
1,0.009999999776482582,combined,0.6219512224197388,0.125,820,8
1,0.019999999552965164,entropy,0.628078818321228,0.0625,812,16
1,0.019999999552965164,information_content,0.628078818321228,0.0625,812,16
1,0.019999999552965164,probability_gap,0.628078818321228,0.0625,812,16
1,0.019999999552965164,combined,0.628078818321228,0.0625,812,16
1,0.029999999329447746,entropy,0.6343283653259277,0.0416666679084301,804,24
1,0.029999999329447746,information_content,0.6343283653259277,0.0416666679084301,804,24
1,0.029999999329447746,probability_gap,0.6343283653259277,0.0416666679084301,804,24
1,0.029999999329447746,combined,0.6343283653259277,0.0416666679084301,804,24
1,0.03999999910593033,entropy,0.6415094137191772,0.03030303120613098,795,33
1,0.03999999910593033,information_content,0.6415094137191772,0.03030303120613098,795,33
1,0.03999999910593033,probability_gap,0.6415094137191772,0.03030303120613098,795,33
1,0.03999999910593033,combined,0.6415094137191772,0.03030303120613098,795,33
1,0.04999999701976776,entropy,0.6480305194854736,0.024390242993831635,787,41
1,0.04999999701976776,information_content,0.6480305194854736,0.024390242993831635,787,41
1,0.04999999701976776,probability_gap,0.6480305194854736,0.024390242993831635,787,41
1,0.04999999701976776,combined,0.6480305194854736,0.024390242993831635,787,41
1,0.05999999865889549,entropy,0.653401792049408,0.040816325694322586,779,49
1,0.05999999865889549,information_content,0.653401792049408,0.040816325694322586,779,49
1,0.05999999865889549,probability_gap,0.653401792049408,0.040816325694322586,779,49
1,0.05999999865889549,combined,0.653401792049408,0.040816325694322586,779,49
1,0.07000000029802322,entropy,0.6601815819740295,0.035087719559669495,771,57
1,0.07000000029802322,information_content,0.6601815819740295,0.035087719559669495,771,57
1,0.07000000029802322,probability_gap,0.6601815819740295,0.035087719559669495,771,57
1,0.07000000029802322,combined,0.6601815819740295,0.035087719559669495,771,57
1,0.07999999821186066,entropy,0.6679790019989014,0.03030303120613098,762,66
1,0.07999999821186066,information_content,0.6679790019989014,0.03030303120613098,762,66
1,0.07999999821186066,probability_gap,0.6679790019989014,0.03030303120613098,762,66
1,0.07999999821186066,combined,0.6679790019989014,0.03030303120613098,762,66
1,0.08999999612569809,entropy,0.6750662922859192,0.027027027681469917,754,74
1,0.08999999612569809,information_content,0.6750662922859192,0.027027027681469917,754,74
1,0.08999999612569809,probability_gap,0.6750662922859192,0.027027027681469917,754,74
1,0.08999999612569809,combined,0.6750662922859192,0.027027027681469917,754,74
1,0.09999999403953552,entropy,0.682305634021759,0.024390242993831635,746,82
1,0.09999999403953552,information_content,0.682305634021759,0.024390242993831635,746,82
1,0.09999999403953552,probability_gap,0.682305634021759,0.024390242993831635,746,82
1,0.09999999403953552,combined,0.682305634021759,0.024390242993831635,746,82
1,0.10999999940395355,entropy,0.6897019147872925,0.02222222276031971,738,90
1,0.10999999940395355,information_content,0.6897019147872925,0.02222222276031971,738,90
1,0.10999999940395355,probability_gap,0.6897019147872925,0.02222222276031971,738,90
1,0.10999999940395355,combined,0.6897019147872925,0.02222222276031971,738,90
1,0.11999999731779099,entropy,0.6982167363166809,0.020202020183205605,729,99
1,0.11999999731779099,information_content,0.6982167363166809,0.020202020183205605,729,99
1,0.11999999731779099,probability_gap,0.6982167363166809,0.020202020183205605,729,99
1,0.11999999731779099,combined,0.6982167363166809,0.020202020183205605,729,99
1,0.12999999523162842,entropy,0.7045769691467285,0.028037382289767265,721,107
1,0.12999999523162842,information_content,0.7045769691467285,0.028037382289767265,721,107
1,0.12999999523162842,probability_gap,0.7045769691467285,0.028037382289767265,721,107
1,0.12999999523162842,combined,0.7045769691467285,0.028037382289767265,721,107
1,0.14000000059604645,entropy,0.7124824523925781,0.0260869562625885,713,115
1,0.14000000059604645,information_content,0.7124824523925781,0.0260869562625885,713,115
1,0.14000000059604645,probability_gap,0.7124824523925781,0.0260869562625885,713,115
1,0.14000000059604645,combined,0.7124824523925781,0.0260869562625885,713,115
1,0.14999999105930328,entropy,0.7201704382896423,0.032258063554763794,704,124
1,0.14999999105930328,information_content,0.7201704382896423,0.032258063554763794,704,124
1,0.14999999105930328,probability_gap,0.7201704382896423,0.032258063554763794,704,124
1,0.14999999105930328,combined,0.7201704382896423,0.032258063554763794,704,124
1,0.1599999964237213,entropy,0.7284482717514038,0.03030303120613098,696,132
1,0.1599999964237213,information_content,0.7284482717514038,0.03030303120613098,696,132
1,0.1599999964237213,probability_gap,0.7284482717514038,0.03030303120613098,696,132
1,0.1599999964237213,combined,0.7284482717514038,0.03030303120613098,696,132
1,0.17000000178813934,entropy,0.7354651093482971,0.0357142873108387,688,140
1,0.17000000178813934,information_content,0.7354651093482971,0.0357142873108387,688,140
1,0.17000000178813934,probability_gap,0.7354651093482971,0.0357142873108387,688,140
1,0.17000000178813934,combined,0.7354651093482971,0.0357142873108387,688,140
1,0.17999999225139618,entropy,0.7426470518112183,0.04054053872823715,680,148
1,0.17999999225139618,information_content,0.7426470518112183,0.04054053872823715,680,148
1,0.17999999225139618,probability_gap,0.7426470518112183,0.04054053872823715,680,148
1,0.17999999225139618,combined,0.7426470518112183,0.04054053872823715,680,148
1,0.1899999976158142,entropy,0.7511177062988281,0.04458598792552948,671,157
1,0.1899999976158142,information_content,0.7511177062988281,0.04458598792552948,671,157
1,0.1899999976158142,probability_gap,0.7511177062988281,0.04458598792552948,671,157
1,0.1899999976158142,combined,0.7511177062988281,0.04458598792552948,671,157
1,0.19999998807907104,entropy,0.7563909888267517,0.04907975345849991,665,163
1,0.19999998807907104,information_content,0.7563909888267517,0.04907975345849991,665,163
1,0.19999998807907104,probability_gap,0.7563909888267517,0.04907975345849991,665,163
1,0.19999998807907104,combined,0.7563909888267517,0.04907975345849991,665,163
1,0.20999999344348907,entropy,0.7603053450584412,0.07514450699090958,655,173
1,0.20999999344348907,information_content,0.7603053450584412,0.07514450699090958,655,173
1,0.20999999344348907,probability_gap,0.7603053450584412,0.07514450699090958,655,173
1,0.20999999344348907,combined,0.7603053450584412,0.07514450699090958,655,173
1,0.2199999988079071,entropy,0.7681607604026794,0.07734806835651398,647,181
1,0.2199999988079071,information_content,0.7681607604026794,0.07734806835651398,647,181
1,0.2199999988079071,probability_gap,0.7681607604026794,0.07734806835651398,647,181
1,0.2199999988079071,combined,0.7681607604026794,0.07734806835651398,647,181
1,0.22999998927116394,entropy,0.777429461479187,0.07894736528396606,638,190
1,0.22999998927116394,information_content,0.777429461479187,0.07894736528396606,638,190
1,0.22999998927116394,probability_gap,0.777429461479187,0.07894736528396606,638,190
1,0.22999998927116394,combined,0.777429461479187,0.07894736528396606,638,190
1,0.23999999463558197,entropy,0.7841269969940186,0.08585858345031738,630,198
1,0.23999999463558197,information_content,0.7841269969940186,0.08585858345031738,630,198
1,0.23999999463558197,probability_gap,0.7841269969940186,0.08585858345031738,630,198
1,0.23999999463558197,combined,0.7841269969940186,0.08585858345031738,630,198
